feature,mean,std
CLEC3A,4.771125850340136,5.2887057281387255
CPB1,6.336072108843537,5.102530635762194
SCGB2A2,9.191769217687074,5.0483450636085525
SCGB1D2,7.005561564625852,4.449244945756251
TFF1,8.226445238095238,4.4225231507578355
MUCL1,7.024463605442177,4.243781363758151
GSTM1,5.460621598639456,4.339564744113009
PIP,8.369750340136054,4.327620476282476
ADIPOQ,6.426642006802721,3.851342768509627
ADH1B,6.684905442176871,3.8521311771439675
HMGCS2,5.817177891156462,4.004513408066425
S100A7,3.8942452380952375,4.345388308908816
CYP2B7P1,7.777730782312925,4.230272971057696
ANKRD30A,6.875605272108843,4.141835505299791
TAT,4.696694897959183,3.8303544915097194
PRAME,4.950680102040816,4.150926206399355
CYP4Z1,6.467118707482993,4.099853103467786
SERPINA6,3.80194268707483,4.164145306848184
AGR3,8.704742006802721,4.140638743802392
UGT2B11,3.5303477891156465,3.9921444535595527
TFAP2B,7.464525340136055,4.0157732761836495
MUC6,4.601623979591837,3.943658770414198
KCNJ3,4.571330442176871,4.035735797798826
DHRS2,7.267125850340135,3.9789813551877566
MYBPC1,4.6943903061224495,3.669624090655183
KRT14,8.31416156462585,3.5918238769714654
C4orf7,4.1883976190476195,3.724421468715056
SLC30A8,4.554800850340136,4.0038421467399905
GABRP,7.82011037414966,3.6835542478766152
SOX10,5.454457312925171,3.6650266072525994
STAC2,6.304220408163265,3.6194486625097904
KRT5,9.057752551020409,3.6266947121067834
VSTM2A,2.993397619047619,3.7564796376007363
COL2A1,5.006973809523809,3.82167546896663
CEACAM5,6.662855272108843,3.8316595082949054
TUSC5,4.355648979591837,3.2338258764423706
CALML5,6.613174319727891,3.7501211660115885
GP2,6.048338435374151,3.7142199734728334
GSTT1,7.362676700680272,3.599572981222339
FABP7,3.484447108843537,3.5695667220407388
C1orf64,6.39458044217687,3.6857142609747795
KRT6B,6.915735884353741,3.515178096926885
CRABP1,5.641424489795917,3.6191276306901607
LEP,3.671806462585034,2.809309937945073
MUC5B,8.276562414965985,3.62157280122038
PIGR,6.743217176870749,3.32848059375329
SYT13,7.468062585034014,3.6195363292291867
LTF,11.035304421768707,3.5912164384875607
TFF3,9.577648299319728,3.666884016425447
FABP4,7.403294727891157,3.1772745749177953
GRIA2,3.5888647959183673,3.595092830871589
CST1,6.782625510204081,3.0725487151976596
CIDEC,4.422037244897959,2.9942118339458337
KLK11,3.75541156462585,3.452947194687366
KLK5,5.212538775510203,3.3543585060151435
OLFM4,4.664269727891155,3.3888112444181955
BMPR1B,8.843028401360545,3.5959679468353363
CST9,3.3957670068027213,3.5459371923189797
HOXB13,3.4488265306122448,3.533150834647073
CEACAM6,8.86178656462585,3.544456479218297
SLC34A2,6.703029081632653,3.4969596471853133
CYP2A6,3.1145068027210883,3.5898061033062607
TCN1,4.779999659863946,3.4014513517419305
CLCA2,5.276274489795919,3.514881359261059
LRP2,8.529273299319728,3.443862794419484
KRT17,8.974274659863944,3.257047073532973
AGR2,11.520115476190476,3.3858736464924344
ABCC11,7.670107142857142,3.5272647324048507
DSG3,5.633546768707483,3.2951447051454714
PROM1,7.926263945578232,3.3775039807967326
C20orf114,6.0410588435374155,3.3879385804158786
CRISP3,4.452166836734694,3.5467192093617546
ELF5,6.597947448979592,3.330259764522991
NPY1R,8.487244217687074,3.4947377421209818
KCNC2,2.4372085034013606,3.3799111335792933
KRT6A,4.163969217687075,3.396407975405631
CP,8.071781292517006,3.513029565620567
KIF1A,4.531198129251701,3.544707623175544
PVALB,3.441611224489796,3.333695366585582
MUC16,5.747769047619047,3.3263369193827854
OBP2B,3.5996452380952384,3.4201763262860663
CGA,2.431702891156463,3.2945575708845323
GFRA1,10.798792517006804,3.4977211258938694
CYP4F8,3.3344397959183674,3.3430509090675598
TNNT1,6.848898809523809,3.141350107611517
PGR,8.974578231292517,3.478060900324526
AQP5,4.279669217687075,3.302016030470465
PLIN1,6.741067006802721,2.784300224974802
GPD1,6.026810544217687,2.803517800167699
